config,use_bn,dropout_p,lr,batch_size,epochs,test_acc,train_loss,val_loss,min_val_loss,min_val_loss_epoch,time_sec
"Baseline, bs=32",False,0.0,0.001,32,150,0.8305,0.34548521796862286,0.35612648940086367,0.34706032514572144,99,44.36336851119995
"Drop(p=0.03), bs=32",False,0.03,0.001,32,150,0.818,0.3427314321200053,0.35503657793998716,0.33979756212234496,139,46.50167202949524
"Drop(p=0.05), bs=32",False,0.05,0.001,32,150,0.839,0.3396587646007538,0.341769553899765,0.3399009208679199,129,58.16434907913208
"Drop(p=0.055), bs=32",False,0.055,0.001,32,150,0.833,0.3397626203695933,0.3508951618671417,0.340976909160614,145,62.69318246841431
"Drop(p=0.07), bs=32",False,0.07,0.001,32,150,0.8365,0.3482063230673472,0.3482171864509582,0.34164727973937986,120,53.458417892456055
"Drop(p=0.1), bs=32",False,0.1,0.001,32,150,0.82,0.34217388836542767,0.3562515089511871,0.3400600881576538,132,47.497952938079834
"Drop(p=0.05), bs=64",False,0.05,0.001,64,150,0.8325,0.34680308190981546,0.3444393815994263,0.33986168932914734,142,32.6028106212616
"Drop(p=0.05), bs=96",False,0.05,0.001,96,150,0.8305,0.35294090056419375,0.3493546166419983,0.3492430691719055,142,26.709654092788696
"BatchNorm, bs=32",True,0.0,0.001,32,150,0.6475,0.3946233069896698,0.5311595659255981,0.4017633895874023,145,49.258774518966675
"BN+Drop(p=0.03), bs=32",True,0.03,0.001,32,150,0.8065,0.40540964635213217,0.4055548253059387,0.39742343735694885,132,49.094213247299194
"BN+Drop(p=0.05), bs=32",True,0.05,0.001,32,150,0.763,0.412911049524943,0.46426671171188355,0.4043150668144226,116,59.99927353858948
